video_genres,video_level,video_title,video_url,video_year
"ComedyMusicalRomance18 July 2008 (USA)
","
                    PG-13
                        
    
, 
, 

    
            ",Mamma Mia!             ,https://www.imdb.com/title/tt0795421/,2008
"DocumentaryMusicTV Special 13 July 1985
","
                    
    
, 


    
            ",Live Aid             ,https://www.imdb.com/title/tt0261024/,1985
"ActionAdventureSci-Fi27 April 2018 (USA)
","
                    PG-13
                        
    
, 
, 

    
            ",Avengers: Infinity War             ,https://www.imdb.com/title/tt4154756/,2018
"ComedyEpisode aired 18 November 2008
","
                    
    


    
            ",The Crying Game             ,https://www.imdb.com/title/tt1326075/,
"ComedyCrimeDramaTV Series (2018– )
","
                    TV-14
                        
    
, 
, 

    
            ",Good Girls             ,https://www.imdb.com/title/tt6474378/,
"Talk-ShowEpisode aired 4 January 2009
","
                    
    


    
            ",Phil Collins             ,https://www.imdb.com/title/tt1353869/,
"ActionAdventureDramaEpisode aired 11 May 2018
","
                    TV-14
                        
    
, 
, 

    
            ",The Force of Gravity             ,https://www.imdb.com/title/tt7183156/,
"ComedyTV Series (2008–2009)
","



    
            ",Rita Rocks             ,https://www.imdb.com/title/tt1196953/,
"ComedyEpisode aired 25 November 2008
","
                    
    


    
            ",Under Pressure             ,https://www.imdb.com/title/tt1330461/,
"ComedyEpisode aired 11 November 2008
","
                    
    


    
            ",Take This Job and Shove It             ,https://www.imdb.com/title/tt1322809/,
"Talk-ShowEpisode aired 30 March 2019
","
                    
    


    
            ",The Happiest Episode: D             ,https://www.imdb.com/title/tt10120574/,
"ComedyDrama8 November 2016 (USA)
","
                    Not Rated
                        
    
, 


    
            ",Operator             ,https://www.imdb.com/title/tt5052524/,2016
"Talk-ShowTV Series (2003– )
","
                    
    


    
            ",Mark Lawson Talks to...             ,https://www.imdb.com/title/tt0808084/,
"Talk-ShowEpisode aired 3 June 2006
","
                    
    


    
            ",Philip Roth             ,https://www.imdb.com/title/tt0829825/,
"Talk-ShowEpisode aired 1 June 2004
","
                    
    


    
            ",Peter Singer             ,https://www.imdb.com/title/tt1704879/,
"ActionAdventureDramaEpisode aired 18 May 2018
","
                    TV-14
                        
    
, 
, 

    
            ",The End             ,https://www.imdb.com/title/tt7183160/,
"ActionAdventureDramaTV Series (2013– )
","
                    TV-PG
                        
    
, 
, 

    
            ",Agents of S.H.I.E.L.D.             ,https://www.imdb.com/title/tt2364582/,
"ActionAdventureDramaEpisode aired 4 May 2018
","
                    TV-14
                        
    
, 
, 

    
            ",The One Who Will Save Us All             ,https://www.imdb.com/title/tt7183150/,
"DramaReality-TVTV Series (2006–2010)
","
                    TV-PG
                        
    
, 


    
            ",The Hills             ,https://www.imdb.com/title/tt0489598/,
"ComedyEpisode aired 2 December 2008
","
                    
    


    
            ",Got No Time             ,https://www.imdb.com/title/tt1333517/,
"ComedyEpisode aired 28 October 2008
","
                    
    


    
            ",Nobody Does It Better             ,https://www.imdb.com/title/tt1315539/,
"Talk-ShowTV Series (2018– )
","



    
            ",AniMat's Crazy Cartoon Cast             ,https://www.imdb.com/title/tt8807568/,
"AnimationActionAdventure5 November 2004 (USA)
","
                    PG
                        
    
, 
, 

    
            ",The Incredibles             ,https://www.imdb.com/title/tt0317705/,2004
"Talk-ShowEpisode aired 6 April 2019
","
                    
    


    
            ",Body Odor Penalty             ,https://www.imdb.com/title/tt10150224/,
"Talk-ShowEpisode aired 23 March 2019
","
                    
    


    
            ",The Wonderful World of Disney/Fox             ,https://www.imdb.com/title/tt10078692/,
"Talk-ShowEpisode aired 16 November 2008
","
                    
    


    
            ",Quentin Blake             ,https://www.imdb.com/title/tt1323334/,
"Talk-ShowEpisode aired 11 July 2011
","
                    
    


    
            ",Peter Blake             ,https://www.imdb.com/title/tt1989933/,
"ActionAdventureDramaEpisode airs 10 May 2019
","
                    TV-PG
                        
    
, 
, 

    
            ",Missing Pieces             ,https://www.imdb.com/title/tt8416608/,
"ActionAdventureDramaEpisode aired 21 February 2017
","
                    TV-14
                        
    
, 
, 

    
            ",Self Control             ,https://www.imdb.com/title/tt5916824/,
"Talk-ShowEpisode aired 30 October 2016
","
                    TV-14
                        
    


    
            ",The Well             ,https://www.imdb.com/title/tt6185744/,
"ActionAdventureDramaEpisode aired 27 April 2018
","
                    TV-14
                        
    
, 
, 

    
            ",Option Two             ,https://www.imdb.com/title/tt7183140/,
"Game-ShowEpisode aired 17 September 2009
","
                    TV-PG
                        
    


    
            ",Episode #8.9             ,https://www.imdb.com/title/tt1512680/,
"ComedyEpisode aired 9 December 2008
","
                    
    


    
            ",Love on the Rocks             ,https://www.imdb.com/title/tt1336553/,
"ComedyEpisode aired 24 October 2008
","
                    
    


    
            ",Mother's Little Helper             ,https://www.imdb.com/title/tt1313768/,
"Talk-ShowTV Series (2015–2018)
","



    
            ",The Animation Podcast             ,https://www.imdb.com/title/tt9088382/,
"AnimationAdventureComedy24 November 1999 (USA)
","
                    G
                        
    
, 
, 

    
            ",Toy Story 2             ,https://www.imdb.com/title/tt0120363/,1999
"AnimationTalk-ShowEpisode aired 11 March 2012
","

, 


    
            ",The Lorax             ,https://www.imdb.com/title/tt3646596/,
"AnimationAdventureComedy27 March 2015 (USA)
","
                    PG
                        
    
, 
, 

    
            ",Home             ,https://www.imdb.com/title/tt2224026/,2015
"Talk-ShowEpisode aired 15 June 2018
","
                    
    


    
            ",E3 2018 Recap             ,https://www.imdb.com/title/tt9021604/,
"ComedyFantasySci-Fi24 July 2015 (USA)
","
                    PG-13
                        
    
, 
, 

    
            ",Smosh: The Movie             ,https://www.imdb.com/title/tt4184878/,2015
"Talk-ShowEpisode aired 16 March 2019
","
                    
    


    
            ",One Giant Iago Ahead             ,https://www.imdb.com/title/tt10042228/,
"Talk-ShowEpisode aired 5 March 2008
","
                    
    


    
            ",Rabbi Lionel Blue             ,https://www.imdb.com/title/tt1205777/,
"Talk-ShowEpisode aired 13 January 2013
","
                    
    


    
            ",Patrick Moore             ,https://www.imdb.com/title/tt2632488/,
"ActionAdventureDramaEpisode airs 17 May 2019
","
                    TV-PG
                        
    
, 
, 

    
            ",Episode #6.2             ,https://www.imdb.com/title/tt8416896/,
"ActionAdventureDramaEpisode aired 4 April 2017
","
                    TV-PG
                        
    
, 
, 

    
            ",What If...             ,https://www.imdb.com/title/tt5916832/,
"ActionAdventureDramaEpisode aired 14 February 2017
","
                    TV-PG
                        
    
, 
, 

    
            ",The Man Behind the Shield             ,https://www.imdb.com/title/tt5916818/,
"ActionAdventureCrimeVideo game released 23 June 2015
","

, 
, 

    
            ",Batman: Arkham Knight             ,https://www.imdb.com/title/tt3554580/,2015
"ActionAdventureDramaEpisode aired 20 April 2018
","
                    TV-14
                        
    
, 
, 

    
            ",All Roads Lead...             ,https://www.imdb.com/title/tt7183130/,
"Game-ShowReality-TVTV Series (2006– )
","
                    TV-14
                        
    
, 


    
            ",Top Chef             ,https://www.imdb.com/title/tt0765425/,
"ComedyEpisode aired 16 December 2008
","
                    
    


    
            ",I Write the Songs             ,https://www.imdb.com/title/tt1341054/,
"ComedyEpisode aired 23 October 2008
","
                    
    


    
            ",Flirting with Disaster             ,https://www.imdb.com/title/tt1313767/,
"Game-ShowEpisode aired 18 September 2009
","
                    TV-PG
                        
    


    
            ",Episode #8.10             ,https://www.imdb.com/title/tt1512678/,
"AnimationAdventureComedy18 May 2001 (USA)
","
                    PG
                        
    
, 
, 

    
            ",Shrek             ,https://www.imdb.com/title/tt0126029/,2001
"ActionAdventureFantasy25 May 1983 (USA)
","
                    PG
                        
    
, 
, 

    
            ",Star Wars: Episode VI - Return of the Jedi             ,https://www.imdb.com/title/tt0086190/,1983
"FamilySci-Fi11 June 1982 (USA)
","
                    PG
                        
    
, 


    
            ",E.T. the Extra-Terrestrial             ,https://www.imdb.com/title/tt0083866/,1982
"Talk-ShowEpisode aired 25 February 2019
","
                    
    


    
            ",Oscars 2019 Recap             ,https://www.imdb.com/title/tt9839512/,
"DocumentaryAnimationComedyEpisode aired 11 December 2015
","
                    TV-MA
                        
    
, 
, 

    
            ",Smosh: The Movie             ,https://www.imdb.com/title/tt6213052/,
"ActionAdventureFantasy31 May 2019 (USA)
","
                    PG-13
    
, 
, 

    
            ",Godzilla: King of the Monsters             ,https://www.imdb.com/title/tt3741700/,2019
"Talk-ShowEpisode aired 30 September 2009
","
                    
    


    
            ",Richard Wilson             ,https://www.imdb.com/title/tt1599087/,
"Talk-ShowEpisode aired 11 March 2006
","
                    
    


    
            ",P.D. James             ,https://www.imdb.com/title/tt1213444/,
"ActionAdventureDramaEpisode airs 24 May 2019
","
                    TV-PG
                        
    
, 
, 

    
            ",Episode #6.3             ,https://www.imdb.com/title/tt8416904/,
"ActionAdventureDramaEpisode aired 11 April 2017
","
                    TV-PG
                        
    
, 
, 

    
            ",Identity and Change             ,https://www.imdb.com/title/tt5916836/,
"AdventureComedy2 May 1997 (USA)
","
                    PG-13
                        
    
, 


    
            ",Austin Powers: International Man of Mystery             ,https://www.imdb.com/title/tt0118655/,1997
"AnimationActionCrimeVideo 29 July 2014
","
                    PG-13
                        
    
, 
, 

    
            ",Batman: Assault on Arkham             ,https://www.imdb.com/title/tt3139086/,2014
