genres,level,title,time
Comedy Musical Romance,PG-13,Mamma Mia!,18-July-2008
Action Adventure Sci-Fi,PG-13,Avengers: Infinity War,27-April-2018
Comedy Episode aired ,,The Crying Game,18-November-2008
Comedy Episode aired ,,Under Pressure,25-November-2008
Comedy Episode aired ,,Take This Job and Shove It,11-November-2008
Comedy Drama,Not Rated,Operator,8-November-2016
Comedy Episode aired ,,Got No Time,2-December-2008
Comedy Episode aired ,,Nobody Does It Better,28-October-2008
Animation Action Adventure,PG,The Incredibles,5-November-2004
Comedy Episode aired ,,Love on the Rocks,9-December-2008
Comedy Episode aired ,,Mother's Little Helper,24-October-2008
Animation Adventure Comedy,G,Toy Story 2,24-November-1999
Animation Adventure Comedy,PG,Home,27-March-2015
Comedy Fantasy Sci-Fi,PG-13,Smosh: The Movie,24-July-2015
Action Adventure Crime Video game released ,,Batman: Arkham Knight,23-June-2015
Comedy Episode aired ,,I Write the Songs,16-December-2008
Comedy Episode aired ,,Flirting with Disaster,23-October-2008
Animation Adventure Comedy,PG,Shrek,18-May-2001
Action Adventure Fantasy,PG,Star Wars: Episode VI - Return of the Jedi,25-May-1983
Family Sci-Fi,PG,E.T. the Extra-Terrestrial,11-June-1982
Action Adventure Fantasy,PG-13,Godzilla: King of the Monsters,31-May-2019
Adventure Comedy,PG-13,Austin Powers: International Man of Mystery,2-May-1997
Animation Action Crime Video ,PG-13,Batman: Assault on Arkham,29-July-2014
Comedy Episode aired ,,The Girl Is Mine,5-January-2009
Comedy Episode aired ,,You Gotta Have Friends,22-October-2008
Animation Adventure Comedy,G,Chicken Run,23-June-2000
Comedy Horror Sci-Fi,Not Rated,Hobgoblins,14-July-1988
Action Adventure Fantasy,PG,Star Wars: Episode IV - A New Hope,25-May-1977
Action Fantasy,,Batwoman and Robin Meet the Queen of the Vampires,18-May-1972-Philippines)
Comedy Episode aired ,,"Lies, Lies, Lies, Yeah-ah",21-October-2008
Horror Sci-Fi,R,Alien,22-June-1979
Biography Comedy Drama,R,Vice,25-December-2018
Adult Fantasy Sci-Fi Video ,X,Batgirl XXX: An Extreme Comixxx Parody,4-September-2012
Action Crime Drama,R,No Way Out,14-August-1987
Comedy Episode aired ,,Pilot,20-October-2008
Comedy Music Episode aired ,,Talent,1993
Documentary Short Video ,,Cronenberg Interview: Shivers,30-September-1998
Action Sci-Fi Thriller,PG-13,Lawnmower Man 2: Beyond Cyberspace,12-January-1996
Comedy Sci-Fi Episode aired ,,Why Are We Here?,2-November-1981
Drama Sport,PG,Rocky IV,27-November-1985
Action Crime Drama,R,No Way Out,23-August-1973-France)
Drama Horror Thriller,R,Dead Ringers,23-September-1988
Action Adventure Sci-Fi,PG,TRON,9-July-1982
Comedy Sci-Fi Episode aired ,,Absence Makes the Heart,9-November-1981
Comedy News Episode aired ,,Episode #11.2,10-January-2014
Short Drama,,No Way Out,8-October-2009
Documentary,,"Ginger Snaps: Blood, Teeth and Fur",22-July-2014
Drama,Approved,The Oscar,8-July-1966-U-K)
Animation Short Action Video,,Computer Warriors,
Comedy Sci-Fi Episode aired ,,We Are Not Alone,16-November-1981
Action Crime Thriller,R,Cobra,23-May-1986
Adventure Drama Thriller,PG,Jaws,20-June-1975
Crime Drama Mystery,Not Rated,The Barefoot Contessa,29-September-1954
Drama Fantasy Horror,Not Rated,Ginger Snaps,11-May-2001-Canada)
Documentary Video ,,At the Waterfront After the Social: The Legacy of Sleepaway Camp,27-May-2014
Documentary Short Video ,,A Work of Art: An Interview with Actor Art LaFleur,22-January-2019
Action Adventure Fantasy,PG-13,Thor,6-May-2011
Comedy Horror,R,An American Werewolf in London,21-August-1981
Horror,R,Sleepaway Camp,18-November-1983
Comedy Drama Romance,R,Class,22-July-1983
Comedy Horror,R,Vampire's Kiss,16-June-1989-Italy)
Horror,,Mr. Hush,23-October-2010
Action Adventure Fantasy,,The Sea Beast,15-January-1926
Horror,Unrated,Sleepaway Camp IV: The Survivor,1992
Comedy Episode aired ,,Halloween III: Season of the Witch,27-October-2011
Comedy Crime Thriller,R,Serial Mom,13-April-1994
