genre,level,title,time
Action & AdventureScience Fiction & Fantasy,"R (for intense sequences of violence throughout, and for disturbing images)",Mad Max: Fury Road,15-May-15
ClassicsMystery & Suspense,NR,The Third Man,3-Sep-49
Action & AdventureAnimationKids & FamilyScience Fiction & Fantasy,"PG (for frenetic sequences of animated action violence, thematic elements, and mild language)",Spider-Man: Into the Spider-Verse,14-Dec-18
HorrorMystery & Suspense,"R (for violence, bloody images, and language including sexual references)",Get Out,24-Feb-17
ComedyDrama,"R (for language throughout, including racial epithets, and for disturbing/violent material and some sexual references)",BlacKkKlansman,10-Aug-18
ClassicsDramaMystery & Suspense,PG,Citizen Kane,1-May-41
ClassicsKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G (for some scary moments),The Wizard of Oz,25-Aug-39
ComedyDrama,"R (for language, sexual content, brief graphic nudity and teen partying)",Lady Bird,3-Nov-17
Action & AdventureDramaMystery & Suspense,"PG-13 (for violence and intense sequences of action, and for brief strong language)",Mission: Impossible - Fallout,27-Jul-18
Action & AdventureDramaScience Fiction & Fantasy,"PG-13 (for prolonged sequences of action violence, and a brief rude gesture)",Black Panther,16-Feb-18
Art House & InternationalDrama,NR,Transit,1-Mar-19
DramaRomance,NR,Ash Is Purest White,15-Mar-19
Comedy,"PG-13 (for crude and sexual material, language throughout, some violence and drug content)",Fighting with My Family,22-Feb-19
Action & AdventureScience Fiction & Fantasy,"PG-13 (for sequences of sci-fi violence and action, and brief suggestive language)",Captain Marvel,8-Mar-19
ComedyDrama,"PG (for some language, and for smoking)",Stan & Ollie,25-Jan-19
Action & AdventureAnimationKids & Family,PG (for adventure action and some mild rude humor),How to Train Your Dragon: The Hidden World,22-Feb-19
ClassicsDrama,G,The Birth of a Nation,3-Mar-15
DramaHorrorMystery & Suspense,NR,Something,1-Mar-19
AnimationAnime & MangaArt House & InternationalKids & Family,PG (for thematic elements including some scary images),Mirai,29-Nov-18
Drama,"PG (for thematic elements, some peril and language)",A Dog's Way Home,11-Jan-19
Action & AdventureComedyMystery & Suspense,"PG-13 (for crude sexual material, some violence, language and drug references)",Holmes and Watson,25-Dec-18
Drama,"PG-13 (for sequences of fantasy violence, some disturbing images, brief suggestive content, thematic material and language)",Welcome to Marwen,21-Dec-18
Drama,PG-13 (for some language and suggestive content),On the Basis of Sex,11-Jan-19
Drama,R (for language and some drug material),Little Woods,19-Apr-19
ComedyDramaMystery & Suspense,"R (for strong sexual content, graphic nudity, violence, language throughout and some drug use)",Under the Silver Lake,19-Apr-19
Documentary,G,Disneynature: Penguins,17-Apr-19
Drama,PG (for thematic content including peril),Breakthrough,17-Apr-19
Horror,R (for violence and terror),The Curse of La Llorona,19-Apr-19
AnimationComedyKids & Family,PG (for some mild thematic elements and action),Wonder Park,15-Mar-19
Drama,R (for some disturbing/bloody images),Unplanned,29-Mar-19
DramaRomance,"PG-13 (for thematic elements, language and suggestive material)",Five Feet Apart,15-Mar-19
Drama,"PG-13 (for thematic material, racial epithets, some violence and a suggestive reference)",The Best of Enemies,5-Apr-19
AnimationKids & FamilyScience Fiction & Fantasy,"PG (for peril/action, some thematic elements, and brief mild language)",Dumbo,29-Mar-19
Horror,"R (for horror violence, bloody images, and some language)",Pet Sematary,5-Apr-19
Action & AdventureComedyDrama,NR,The Man Who Killed Don Quixote,10-Apr-19
Comedy,PG-13 (for some suggestive content),Little,12-Apr-19
DramaRomance,PG-13 (for sexual content and some college partying),After,12-Apr-19
Action & AdventureAnimationComedy,PG (for action/peril and some mild rude humor),Missing Link,12-Apr-19
Documentary,G,Apollo 11,14-May-19
Art House & InternationalDocumentary,R (for disturbing war images),They Shall Not Grow Old,1-Feb-19
DramaRomance,R (for language and some sexual content),If Beale Street Could Talk,11-Jan-19
HorrorMystery & Suspense,"R (for violence/terror, and language)",Us,22-Mar-19
Action & AdventureScience Fiction & Fantasy,"R (for strong bloody violence and gore throughout, and language)",Hellboy,12-Apr-19
Drama,"R (for violence, language throughout, and some sexual content/nudity)",Widows,16-Nov-18
Action & AdventureArt House & InternationalScience Fiction & Fantasy,"R (for disturbing sexual and violent content including sexual assault, graphic nudity, and for language)",High Life,5-Apr-19
Action & AdventureScience Fiction & Fantasy,"PG-13 (for intense sequences of action, language, and suggestive material)",Shazam!,5-Apr-19
Art House & InternationalClassicsCult MoviesHorrorMystery & Suspense,NR,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),26-Feb-20
Art House & InternationalClassicsHorrorScience Fiction & Fantasy,NR,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",4-Mar-22
ClassicsComedy,G,The Gold Rush,26-Jun-25
Action & AdventureClassics,PG-13,Wings,12-Aug-27
Art House & InternationalClassicsDrama,NR,The Passion of Joan of Arc (La Passion de Jeanne d'Arc),21-Apr-28
ClassicsDramaHorrorMystery & Suspense,NR,Freaks,20-Feb-32
ClassicsComedy,NR (adult situations),Duck Soup,17-Nov-33
ClassicsComedyRomance,NR,It Happened One Night,22-Feb-34
ClassicsHorrorScience Fiction & FantasySpecial Interest,NR,The Bride of Frankenstein,22-Apr-35
ClassicsComedy,G,Modern Times,25-Feb-36
ClassicsComedyRomance,NR,Bringing Up Baby,18-Feb-38
ClassicsDramaHorror,NR,Phantom Of The Opera,15-Nov-25
Art House & InternationalComedyDrama,NR,The Rules of the Game (La règle du jeu),8-Apr-50
ClassicsDramaRomance,G,Gone With the Wind,15-Dec-39
ComedyDramaRomance,NR,The General,5-Feb-27
ClassicsDrama,PG,All Quiet on the Western Front,24-Aug-30
ClassicsHorror,NR,Dracula,1-Jan-31
Art House & InternationalClassicsDrama,NR,La Grande illusion (Grand Illusion),12-Sep-38
ClassicsComedyDramaRomance,G,City Lights,7-Mar-31
Action & AdventureClassicsHorror,G,King Kong,1-Jan-33
Action & AdventureClassicsMystery & Suspense,NR,The 39 Steps,1-Aug-35
AnimationClassicsKids & FamilyScience Fiction & Fantasy,G,Snow White and the Seven Dwarfs,21-Dec-37
ClassicsDramaMystery & SuspenseRomance,NR,Sunrise: A Song of Two Humans,23-Sep-27
Art House & InternationalClassicsDrama,NR,Battleship Potemkin,24-Dec-25
ClassicsMystery & Suspense,PG,The Lady Vanishes,1-Nov-38
Action & AdventureClassicsRomance,PG,The Adventures of Robin Hood,14-May-38
ClassicsHorrorScience Fiction & FantasySpecial Interest,NR,Frankenstein,21-Nov-31
Art House & InternationalDramaMystery & Suspense,NR,M,31-Aug-31
Action & AdventureArt House & InternationalClassicsDramaScience Fiction & Fantasy,PG-13,Metropolis,13-Mar-27
AnimationClassicsKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G,Fantasia,13-Nov-40
ClassicsComedyDrama,PG,His Girl Friday,18-Jan-40
ClassicsDramaKids & Family,NR,How Green Was My Valley,1-Jan-41
AnimationClassicsKids & FamilyScience Fiction & Fantasy,G,Bambi,21-Aug-42
ClassicsComedyDrama,PG (adult situations),To Be or Not to Be,6-Mar-42
Drama,NR,Double Indemnity,6-Sep-44
ClassicsDramaMystery & Suspense,NR,Mildred Pierce,20-Oct-45
ClassicsDramaRomance,NR,The Best Years of Our Lives,21-Nov-46
ClassicsDramaKids & FamilyScience Fiction & FantasySpecial InterestRomance,NR,Miracle on 34th Street,1-Jan-47
ClassicsDramaMystery & Suspense,NR,The Lady From Shanghai,9-Jun-48
ClassicsDramaMystery & Suspense,PG,Rope,23-Aug-48
Drama,NR,Bicycle Thieves (Ladri di biciclette),13-Dec-49
ClassicsDrama,G,Sunset Boulevard,4-Aug-50
Action & AdventureClassicsDramaRomance,"PG (for thematic elements, some violence and smoking)",The African Queen,23-Dec-51
ClassicsMusical & Performing ArtsRomance,G,An American in Paris,4-Oct-51
Mystery & Suspense,PG (not rated),Strangers on a Train,3-Jul-51
DramaHorrorRomance,R,Cat People,6-Dec-42
Art House & InternationalClassicsDramaMystery & Suspense,NR,Rashômon,26-Dec-51
Action & AdventureClassicsDramaWestern,NR,The Treasure of the Sierra Madre,7-Jan-48
ClassicsDramaKids & FamilyScience Fiction & Fantasy,"PG (for thematic elements, smoking and some violence)",It's a Wonderful Life,25-Dec-46
DramaScience Fiction & FantasyRomance,NR,Beauty and The Beast (La Belle et la bête),1-Jan-46
Art House & InternationalDrama,NR,Open City,25-Feb-46
ClassicsDramaMusical & Performing ArtsRomance,R,The Red Shoes,6-Sep-48
ClassicsDramaScience Fiction & Fantasy,G,The Day the Earth Stood Still,1-Jan-51
AnimationKids & FamilyScience Fiction & Fantasy,G,Dumbo,23-Oct-41
ClassicsDrama,G,The Grapes of Wrath,15-Mar-40
AnimationKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G,Pinocchio,7-Feb-40
ClassicsDrama,PG,A Streetcar Named Desire,19-Sep-51
ClassicsDrama,PG,All About Eve,1-Jan-50
ClassicsComedyRomance,NR,The Philadelphia Story,1-Dec-40
ClassicsDramaMystery & Suspense,PG,The Big Sleep,31-Aug-46
ClassicsDramaRomance,NR,Brief Encounter,26-Nov-45
ClassicsMystery & Suspense,NR,Laura,11-Oct-44
ClassicsDramaRomance,PG,Casablanca,26-Nov-42
DramaMystery & Suspense,PG,The Maltese Falcon,18-Oct-41
ClassicsDramaMystery & Suspense,NR,Rebecca,27-Mar-40
ClassicsComedyDramaRomance,G,The Quiet Man,14-Aug-52
ClassicsComedyMusical & Performing ArtsRomance,G,Gentlemen Prefer Blondes,15-Jul-53
ClassicsComedyDramaRomance,NR,Roman Holiday,2-Sep-53
ClassicsMystery & Suspense,PG,Dial M for Murder,29-May-54
Action & AdventureClassicsDramaMusical & Performing ArtsWestern,PG,Johnny Guitar,26-May-54
AnimationDramaKids & Family,G,Lady and the Tramp,22-Jun-55
ClassicsDramaWesternRomance,G,Giant,24-Nov-56
Art House & InternationalDrama,NR,Rififi (Du Rififi Chez les Hommes),5-Jun-56
Drama,NR,Wild Strawberries,26-Dec-57
Art House & InternationalDramaMystery & SuspenseRomance,NR,Elevator to the Gallows (Ascenseur pour l'échafaud),24-Jun-58
Action & AdventureClassicsDramaRomance,G,Ben-Hur,18-Nov-59
Art House & InternationalClassicsDramaMystery & Suspense,NR,L'Avventura,29-Jun-60
ClassicsComedyDramaRomance,NR,Breakfast at Tiffany's,5-Oct-61
ClassicsDrama,NR,To Kill A Mockingbird,25-Dec-62
ClassicsDramaRomance,G,From Here to Eternity,5-Aug-53
ClassicsCult MoviesDramaHorrorMystery & Suspense,NR,What Ever Happened to Baby Jane?,31-Oct-62
ClassicsKids & FamilyMusical & Performing ArtsSpecial Interest,G,White Christmas,1-Jan-54
Action & AdventureClassicsWestern,G,The Man Who Shot Liberty Valance,28-May-62
Action & AdventureClassicsMystery & Suspense,PG,Dr. No,5-Oct-62
Art House & InternationalDramaHorrorMystery & Suspense,NR,Eyes Without a Face,24-Oct-62
Action & AdventureClassicsDrama,PG (N/A),Lawrence of Arabia,16-Dec-62
Science Fiction & FantasySpecial Interest,NR,L'année dernière à Marienbad (Last Year at Marienbad),25-Jun-61
DramaMusical & Performing ArtsRomance,PG,West Side Story,18-Oct-61
Action & AdventureClassicsDramaWestern,R,The Magnificent Seven,1-Jan-60
DramaRomance,NR,The Hustler,25-Sep-61
AnimationClassicsComedyKids & FamilyMystery & Suspense,G,101 Dalmatians,25-Jan-61
Drama,R (for some bloody violence),Breathless,7-Feb-61
ClassicsDramaMystery & Suspense,R,Peeping Tom,7-Apr-60
Art House & InternationalComedyDrama,NR,La Dolce Vita,1-Jan-60
ClassicsComedyDrama,NR,Lolita,13-Jun-62
ClassicsHorrorMystery & Suspense,"R (adult situations/language, violence)",Psycho,16-Jun-60
ClassicsComedyDramaMusical & Performing Arts,G,Some Like It Hot,29-Mar-59
ClassicsDramaMystery & Suspense,PG-13 (Previously rated in (62)),The Manchurian Candidate,24-Oct-62
Action & AdventureClassicsWestern,R,Rio Bravo,4-Apr-59
Horror,NR,The Innocents,25-Dec-61
Art House & InternationalClassicsDrama,NR,The 400 Blows (Les Quatre cents coups),16-Nov-59
ClassicsDramaMystery & SuspenseRomance,PG (violence),Vertigo,1-Jan-58
Action & AdventureArt House & InternationalClassicsDramaScience Fiction & Fantasy,NR,The Seventh Seal (Det Sjunde inseglet),16-Feb-57
ClassicsComedyDramaRomance,NR,The Apartment,15-Jun-60
Action & AdventureClassicsDrama,PG-13,Spartacus,7-Oct-60
Action & AdventureClassicsDrama,PG (N/A),The Bridge on the River Kwai,2-Oct-57
Action & AdventureClassicsDrama,G,Paths of Glory,25-Dec-57
Action & AdventureArt House & InternationalClassicsDrama,NR,Throne of Blood,1-Jan-57
ClassicsDrama,NR,Sweet Smell of Success,27-Jun-57
Action & AdventureArt House & InternationalHorrorScience Fiction & Fantasy,NR,Gojira,1-Jan-56
ClassicsDramaMystery & Suspense,G,Anatomy of a Murder,1-Jul-59
ClassicsDramaMystery & SuspenseScience Fiction & Fantasy,G,Forbidden Planet,15-Mar-56
ClassicsMystery & Suspense,NR,North by Northwest,17-Sep-59
Action & AdventureClassicsDramaWestern,PG,The Searchers,13-Mar-56
ClassicsDramaMystery & Suspense,PG-13 (for some violence and drug content),Touch of Evil,21-May-58
Action & AdventureArt House & InternationalClassicsDrama,G,Seven Samurai (Shichinin no Samurai),19-Nov-56
ClassicsMystery & SuspenseRomance,"PG (for some action violence, mild suggestive material and smoking)",To Catch a Thief,4-Aug-55
ClassicsDrama,PG-13 (for some violence and sexual content.),Rebel Without a Cause,27-Oct-55
Art House & InternationalDrama,NR,Pather Panchali,28-Oct-03
DramaMystery & Suspense,PG,The Night of the Hunter,1-Jan-55
ClassicsDramaRomance,NR,On the Waterfront,28-Jul-54
ClassicsDrama,NR,12 Angry Men (Twelve Angry Men),13-Apr-57
Art House & InternationalDrama,G,Tokyo Story (Tôkyô monogatari),3-Nov-53
Art House & InternationalDramaMystery & Suspense,NR,The Wages of Fear,1-Jan-53
ClassicsMystery & SuspenseScience Fiction & Fantasy,PG,Invasion of the Body Snatchers,1-Jan-56
ClassicsComedyMusical & Performing ArtsRomance,G,Singin' in the Rain,1-Jan-52
Mystery & Suspense,NR,Diabolique (Les Diaboliques),1-Jan-55
ClassicsDramaMystery & Suspense,PG (adult situations/language),Rear Window,1-Sep-54
Mystery & SuspenseWestern,PG,High Noon,24-Jul-52
Art House & InternationalDrama,NR,Band of Outsiders (Bande à part),15-Mar-64
Art House & InternationalComedyDrama,PG,Contempt,18-Dec-64
DramaMystery & Suspense,NR,Blow-Up,18-Dec-66
Action & AdventureMystery & Suspense,"PG (adult situations/language, violence)",You Only Live Twice,13-Jun-67
Action & AdventureScience Fiction & Fantasy,PG,Barbarella,10-Oct-68
Action & AdventureMystery & SuspenseRomance,PG,On Her Majesty's Secret Service,18-Dec-69
Art House & InternationalDramaSpecial Interest,NR,El Topo,18-Dec-70
ClassicsComedy,"PG (adult situations/language, violence)",M*A*S*H,31-Dec-70
Action & AdventureClassicsMystery & SuspenseScience Fiction & Fantasy,"PG (adult situations/language, violence)",Diamonds Are Forever,17-Dec-71
Comedy,NC17,Pink Flamingos,17-Mar-72
Action & AdventureMystery & Suspense,"PG (adult situations/language, violence)",Live and Let Die,27-Jun-73
DocumentaryMusical & Performing ArtsSpecial Interest,PG,Ziggy Stardust and the Spiders from Mars,1-Apr-03
Action & AdventureDrama,"PG (adult situations/language, violence)",The Man with the Golden Gun,18-Dec-74
ClassicsComedyCult MoviesHorrorMusical & Performing ArtsScience Fiction & Fantasy,R,The Rocky Horror Picture Show,25-Sep-75
Action & AdventureClassicsKids & FamilyScience Fiction & Fantasy,"G (adult situations/language, violence)",Jason and the Argonauts,19-Jun-63
DramaScience Fiction & Fantasy,R,The Man Who Fell to Earth,28-Mar-76
ClassicsDramaTelevisionRomance,PG-13 (for mature themes),Doctor Zhivago,1-Jan-98
ComedyDrama,R,Network,27-Nov-76
ClassicsDramaMystery & Suspense,PG,All the President's Men,4-Apr-76
Art House & InternationalDramaScience Fiction & Fantasy,PG,Solaris,6-Oct-76
DramaMystery & Suspense,"R (violence, language)",Taxi Driver,8-Feb-76
ClassicsDramaMystery & SuspenseRomance,"R (adult situations/language, violence)",Three Days of the Condor,24-Sep-75
ClassicsDramaMusical & Performing Arts,R (N/A),Nashville,11-Jun-75
ClassicsDrama,R,Dog Day Afternoon,21-Sep-75
ClassicsDrama,PG,Barry Lyndon,1-Jan-75
ClassicsDrama,R (N/A),One Flew Over the Cuckoo's Nest,19-Nov-75
Comedy,PG,Monty Python and the Holy Grail,1-Jan-75
ClassicsHorrorMystery & Suspense,R,The Omen,25-Jun-76
Action & AdventureDramaMystery & Suspense,"PG (adult situations/language, violence)",Jaws,1-Jun-75
DocumentaryMusical & Performing ArtsSpecial InterestTelevision,PG,F for Fake,1-Sep-74
Art House & InternationalComedyDrama,R,Amarcord,19-Sep-74
DramaSports & Fitness,PG (N/A),Rocky,21-Nov-76
Horror,"R (adult situations/language, nudity, violence)",Carrie,16-Nov-76
Action & AdventureDramaMystery & Suspense,R,Assault on Precinct 13,5-Nov-76
ClassicsComedyWestern,R (adult situations/language),Blazing Saddles,7-Feb-74
ClassicsComedyHorrorScience Fiction & Fantasy,PG,Young Frankenstein,15-Dec-74
Art House & InternationalClassicsDramaMystery & Suspense,"PG-13 (for some violence, nudity and language)",Professione: reporter (The Passenger),28-Feb-75
DramaMystery & Suspense,PG (adult situations/language),The Conversation,7-Apr-74
Action & AdventureClassicsCult MoviesDramaMystery & Suspense,PG (N/A),Badlands,1-Jan-74
ClassicsDramaMystery & Suspense,R,Chinatown,1-Jan-74
DramaMystery & Suspense,"R (adult situations/language, violence)","The Godfather, Part II",20-Dec-74
ClassicsHorror,R (for strong language and disturbing images),The Exorcist,26-Dec-73
ClassicsDramaHorrorMystery & Suspense,R,The Wicker Man,1-Dec-73
Action & AdventureClassicsDrama,R,Enter the Dragon,26-Jul-73
ComedyDrama,PG (N/A),American Graffiti,1-Aug-73
ClassicsHorrorMystery & Suspense,R,Don't Look Now,9-Dec-73
ClassicsDrama,R,Mean Streets,1-Jan-73
ClassicsHorror,R (N/A),The Texas Chainsaw Massacre,1-Oct-74
Art House & InternationalComedy,NR,Playtime,27-Jun-73
ClassicsComedyRomance,G,"What's Up, Doc?",9-Mar-72
ClassicsDrama,R,Deliverance,21-Jul-72
Action & AdventureArt House & InternationalDrama,R,"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)",29-Dec-72
Art House & InternationalComedyDramaScience Fiction & FantasySpecial Interest,PG,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),15-Sep-72
Drama,R (N/A),The Godfather,24-Mar-72
ClassicsComedyDramaKids & FamilyMusical & Performing Arts,G,Fiddler on the Roof,3-Nov-71
ClassicsComedyRomance,PG,Harold and Maude,20-Dec-71
