A_id,B_id
11,1275
110,843
1154,1598
1172,5
128,364
1319,2869
1325,513
1361,303
140,293
1424,285
1472,2090
1472,119
158,2021
1625,258
1643,1507
1661,1520
1679,840
1679,877
1679,815
1679,976
1751,417
1754,1882
1754,531
1766,678
1781,1844
1781,1941
1817,2913
1862,2860
1862,2732
1862,116
1883,193
1907,2418
194,483
1946,2749
1994,1543
1997,296
200,432
2000,2325
2012,1284
2024,1608
2063,1152
2078,562
2084,277
2105,508
2168,1830
2177,1313
2225,2802
2264,1690
2279,2732
2327,415
2348,1698
239,1692
2393,382
2435,134
245,1595
2477,531
2513,2833
2546,157
260,976
2606,143
263,129
2702,2966
2798,1963
2870,2212
2975,430
2978,318
299,2708
3098,444
3173,1461
3197,272
320,217
323,260
3245,531
3356,294
3356,528
3413,225
3497,1477
359,880
365,2407
380,271
383,1548
413,521
422,1643
434,486
437,482
467,1680
47,2985
482,423
539,229
557,2925
557,1820
557,2017
563,2526
614,2136
62,2107
629,392
65,1604
668,621
683,425
689,2107
713,428
728,356
758,2215
770,1502
8,782
800,283
806,1308
848,202
863,2985
881,209
905,478
956,2913
971,544
977,459
989,1662
1098,2666
1113,2821
1140,406
1215,387
1218,551
1266,1487
1275,1878
1275,1963
1278,317
1299,1625
1383,421
1404,904
144,1546
153,1203
1530,2025
1599,1386
1626,2900
1671,504
1695,400
1713,2686
1719,2647
1722,1566
1743,322
1761,389
18,489
180,2716
1851,2205
1857,463
1884,531
189,1919
1902,1589
1917,525
1932,1697
1947,1686
1983,1307
1989,516
1992,673
2019,1827
2064,2971
207,1022
2094,2254
210,1950
2163,23
2190,197
2241,1401
2250,2732
2250,201
2259,1816
237,502
2394,461
2403,441
2421,373
2508,451
2526,1607
2538,2225
2550,2732
2550,2860
264,447
2661,1596
267,2823
27,563
276,1073
2865,1273
2865,228
2865,911
2865,885
2865,2714
2961,1645
2961,1700
2979,341
3054,443
3066,1860
3075,1466
3075,1525
3087,1548
309,259
33,439
3324,117
3330,365
336,976
336,291
3360,911
3360,309
3360,228
3360,1273
3360,2985
3360,2180
3360,2714
3504,394
39,450
405,837
405,732
414,108
42,497
444,1699
447,1485
498,1945
528,2546
564,565
597,465
621,1640
654,1549
696,1733
711,195
729,94
735,452
738,1624
762,468
768,1451
783,2575
822,245
822,1273
834,1192
840,309
861,531
879,237
885,361
891,498
897,877
903,2911
915,517
990,2882
1,2917
1000,234
1003,2593
1021,1347
1060,1373
1075,1713
1084,206
1114,334
1114,1848
1114,1809
1114,899
1114,1118
1114,1096
1114,2122
112,6
1123,1954
1123,2970
1165,78
1171,520
1216,55
1237,1630
130,360
133,1635
1342,1258
1348,2511
1351,1648
1357,720
1363,309
1366,2913
1366,617
1399,1695
1492,1640
1510,2468
1531,2087
1573,549
1576,2270
1576,2353
1606,1206
1729,1622
1753,290
1768,1673
1768,944
1789,1555
1810,2107
1837,1347
1885,2619
190,1545
190,370
193,303
193,465
193,326
193,1337
1930,291
1936,416
1945,433
1999,353
2041,334
2083,185
2107,2797
2110,27
2110,2554
2185,1801
2194,429
2212,503
2236,2548
2251,1282
2260,403
2263,98
2272,244
2335,121
2371,440
2404,2136
2404,2882
2404,309
2404,228
2404,885
2404,1200
2404,389
244,1233
2446,1106
2479,2431
25,1173
250,506
2521,1882
2533,2104
256,2311
2626,1257
2644,188
268,2615
2791,2464
2794,550
28,2925
28,2353
28,511
28,560
28,1553
28,1820
28,601
28,189
28,586
28,262
28,673
280,1578
2890,1349
2899,414
2998,367
3016,1519
307,553
3076,2122
3079,1301
3127,136
316,1020
322,2422
322,2451
3340,1820
3340,2353
3358,2587
379,369
391,488
40,439
403,228
415,273
448,2784
463,67
538,767
577,1534
601,2061
619,99
625,598
634,1586
637,281
700,368
727,210
73,294
742,1678
751,2118
79,543
814,420
874,671
88,2113
889,2360
898,615
910,553
910,2758
910,2994
913,511
946,580
955,381
97,1388
979,456
1098,2666
1626,2900
1159,470
130,360
1228,399
1606,1206
1278,317
1932,1697
1472,119
1713,2686
1695,400
2989,2568
73,294
1682,104
1223,2465
1679,877
1424,285
2076,2266
1431,1505
2272,2512
19,509
1404,904
1183,669
1355,1035
974,135
30,552
400,11
180,2716
1000,234
2659,2976
209,254
2608,51
1194,2321
2086,2234
112,6
573,2367
231,795
192,1316
1983,1307
655,2692
331,2260
189,1919
1300,54
206,59
1391,146
1060,1373
872,222
352,2740
2019,1827
538,673
1992,767
1056,2711
427,1112
2978,318
1338,124
440,586
3076,2122
815,2552
441,2093
88,2113
891,498
1237,1630
3356,294
413,521
3432,1494
18,489
368,140
291,2361
1389,284
3045,152
449,770
2092,185
2041,334
885,361
